stim_type,target_talker,target_sentence,target_alt_rate,target_init_position,masker1_talker,masker1_sentence,masker1_alt_rate,masker1_init_position,masker2_talker,masker2_sentence,masker2_alt_rate,masker2_init_position
SOS,7M,Sue found four hot socks,4.0,-90.0,10M,Sam sold six green bags,4.0,-90.0,2M,Jill saw three small gloves,4.0,90.0
SOS,1M,Sue bought six big bags,4.0,90.0,5M,Jane found two new gloves,4.0,90.0,11M,Bob held three cheap toys,4.0,-90.0
SOS,10M,Sue sold four cheap cards,4.0,90.0,7M,Pat found three old toys,4.0,90.0,5M,Lynn saw five big shoes,4.0,-90.0
SOS,5M,Sue lost two cheap shoes,4.0,-90.0,10M,Jane saw six small toys,4.0,-90.0,3M,Lynn held four old gloves,4.0,90.0
SOS,1M,Sue bought ten old shoes,4.0,-90.0,9M,Jane lost four new toys,4.0,-90.0,8M,Jill held six big pens,4.0,90.0
SOS,10M,Sue saw three hot socks,0.0,0.0,4M,Lynn gave four green pens,0.0,0.0,2M,,0.0,0.0
SOS,5M,Sue found three small toys,0.0,0.0,2M,Mike saw six new hats,0.0,0.0,11M,,0.0,0.0
SOS,4M,Sue saw five small bags,0.0,0.0,11M,Jane bought two red shoes,0.0,0.0,10M,,0.0,0.0
SOS,11M,Sue found three old socks,0.0,0.0,5M,Sam bought eight big hats,0.0,0.0,3M,,0.0,0.0
SOS,10M,Sue took ten old hats,0.0,0.0,1M,Jane bought three red cards,0.0,0.0,7M,,0.0,0.0
SOS,3M,Sue took four cheap socks,0.0,0.0,11M,Bob lost ten hot shoes,0.0,0.0,9M,,0.0,0.0
SOS,9M,Sue saw ten red hats,0.0,0.0,5M,Jill found three new bags,0.0,0.0,1M,,0.0,0.0
SOS,9M,Sue found five small pens,0.0,0.0,11M,Mike held six red cards,0.0,0.0,8M,,0.0,0.0
SOS,2M,Sue took five hot gloves,0.0,0.0,5M,Sam lost eight small pens,0.0,0.0,7M,,0.0,0.0
SOS,10M,Sue saw six new toys,0.0,0.0,3M,Bob gave nine cheap gloves,0.0,0.0,8M,,0.0,0.0
SOS,1M,Sue lost two cheap bags,0.0,0.0,5M,Jill bought six hot shoes,0.0,0.0,11M,,0.0,0.0
SOS,9M,Sue sold two new socks,0.0,0.0,4M,Pat saw five hot hats,0.0,0.0,11M,,0.0,0.0
SOS,8M,Sue sold six cheap toys,0.0,0.0,5M,Bob found three old bags,0.0,0.0,2M,,0.0,0.0
SOS,1M,Sue took nine red hats,0.0,0.0,11M,Pat bought ten hot gloves,0.0,0.0,8M,,0.0,0.0
SOS,5M,Sue found four hot shoes,0.0,0.0,2M,Sam saw ten red socks,0.0,0.0,3M,,0.0,0.0
SOS,10M,Sue sold nine old bags,0.0,0.0,4M,Jill took three new toys,0.0,0.0,2M,,0.0,0.0
SOS,1M,Sue gave six hot hats,0.0,0.0,3M,Sam found four big pens,0.0,0.0,4M,,0.0,0.0
SOS,9M,Sue sold eight green cards,0.0,0.0,2M,Lynn held four small toys,0.0,0.0,4M,,0.0,0.0
SOS,10M,Sue found six new cards,0.0,0.0,9M,Jane bought five green shoes,0.0,0.0,1M,,0.0,0.0
SOS,1M,Sue saw three big shoes,0.0,0.0,9M,Jill gave ten green toys,0.0,0.0,2M,,0.0,0.0
SOS,5M,Sue took six hot cards,0.0,0.0,8M,Jane held four small toys,0.0,0.0,4M,,0.0,0.0
SOS,11M,Sue saw five new pens,0.0,0.0,3M,Pat found ten small shoes,0.0,0.0,9M,,0.0,0.0
SOS,3M,Sue took six red pens,0.0,0.0,5M,Lynn sold eight cheap cards,0.0,0.0,1M,,0.0,0.0
SOS,11M,Sue lost six cheap pens,0.0,0.0,10M,Jill took five new cards,0.0,0.0,4M,,0.0,0.0
SOS,4M,Sue saw five big cards,0.0,0.0,11M,Pat gave eight green hats,0.0,0.0,9M,,0.0,0.0
SOS,11M,Sue saw five hot gloves,0.0,0.0,3M,Mike lost nine cheap cards,0.0,0.0,10M,,0.0,0.0
SOS,4M,Sue took ten green socks,0.0,0.0,8M,Sam saw eight old toys,0.0,0.0,2M,,0.0,0.0
SOS,9M,Sue gave nine green hats,0.0,0.0,7M,Jill saw ten red gloves,0.0,0.0,10M,,0.0,0.0
SOS,3M,Sue found five big hats,0.0,0.0,1M,Jane held eight hot shoes,0.0,0.0,9M,,0.0,0.0
SOS,9M,Sue bought eight red hats,0.0,0.0,5M,Jill saw six old pens,0.0,0.0,10M,,0.0,0.0
SOS,9M,Sue took six cheap toys,0.0,0.0,3M,Bob bought three green cards,0.0,0.0,10M,,0.0,0.0
SOS,3M,Sue held two small hats,0.0,0.0,2M,Bob saw five green bags,0.0,0.0,4M,,0.0,0.0
SOS,10M,Sue found three big toys,0.0,0.0,1M,Sam bought ten new hats,0.0,0.0,9M,,0.0,0.0
SOS,10M,Sue bought four red bags,0.0,0.0,4M,Pat held five new cards,0.0,0.0,2M,,0.0,0.0
SOS,7M,Sue found two green bags,0.0,0.0,2M,Sam gave five red hats,0.0,0.0,4M,,0.0,0.0
SOS,2M,Sue lost six old socks,0.0,0.0,7M,Lynn bought three hot cards,0.0,0.0,11M,,0.0,0.0
SOS,7M,Sue took four hot pens,0.0,0.0,3M,Sam saw ten red hats,0.0,0.0,2M,,0.0,0.0
SOS,10M,Sue took ten small toys,0.0,0.0,3M,Jill sold four old bags,0.0,0.0,8M,,0.0,0.0
SOS,10M,Sue gave ten hot hats,0.0,0.0,7M,Jane saw four red cards,0.0,0.0,2M,,0.0,0.0
SOS,5M,Sue found three big cards,0.0,0.0,7M,Mike lost five red toys,0.0,0.0,9M,,0.0,0.0
SOS,11M,Sue found four new hats,0.0,0.0,3M,Jane bought five big cards,0.0,0.0,4M,,0.0,0.0
SOS,1M,Sue sold five small shoes,0.0,0.0,5M,Jane saw eight cheap pens,0.0,0.0,9M,,0.0,0.0
SOS,11M,Sue found five hot cards,0.0,0.0,8M,Bob sold two big shoes,0.0,0.0,2M,,0.0,0.0
SOS,1M,Sue gave four small hats,0.0,0.0,8M,Pat found two cheap bags,0.0,0.0,10M,,0.0,0.0
SOS,1M,Sue sold nine small gloves,0.0,0.0,9M,Sam took three green shoes,0.0,0.0,5M,,0.0,0.0
SOS,11M,Sue bought two small bags,0.0,0.0,5M,Pat gave five new gloves,0.0,0.0,3M,,0.0,0.0
SOS,2M,Sue sold five hot pens,0.0,0.0,1M,Sam took ten big gloves,0.0,0.0,11M,,0.0,0.0
SOS,10M,Sue found six hot gloves,0.0,0.0,5M,Pat sold ten cheap pens,0.0,0.0,9M,,0.0,0.0
SOS,10M,Sue sold eight old gloves,0.0,0.0,4M,Jane lost nine cheap toys,0.0,0.0,2M,,0.0,0.0
SOS,7M,Sue sold four cheap pens,0.0,0.0,10M,Jane saw six new hats,0.0,0.0,5M,,0.0,0.0
SOS,3M,Sue lost ten big shoes,0.0,0.0,7M,Bob held eight cheap socks,0.0,0.0,9M,,0.0,0.0
SOS,11M,Sue took two big gloves,0.0,0.0,2M,Sam lost ten hot pens,0.0,0.0,1M,,0.0,0.0
SOS,7M,Sue sold two new shoes,0.0,0.0,1M,Pat saw nine old gloves,0.0,0.0,3M,,0.0,0.0
SOS,4M,Sue lost three hot hats,0.0,0.0,5M,Jane held eight green pens,0.0,0.0,10M,,0.0,0.0
SOS,9M,Sue held six green pens,0.0,0.0,3M,Pat sold four old hats,0.0,0.0,7M,,0.0,0.0
SOS,11M,Sue found two hot shoes,0.0,0.0,3M,Jill bought four big toys,0.0,0.0,2M,,0.0,0.0
SOS,3M,Sue bought five green gloves,0.0,0.0,11M,Jill gave ten old toys,0.0,0.0,9M,,0.0,0.0
SOS,10M,Sue lost two new toys,0.0,0.0,4M,Pat found nine old cards,0.0,0.0,8M,,0.0,0.0
SOS,11M,Sue found two cheap toys,0.0,0.0,1M,Jane lost six small gloves,0.0,0.0,10M,,0.0,0.0
SOS,2M,Sue sold nine cheap shoes,0.0,0.0,9M,Jill held eight hot socks,0.0,0.0,5M,,0.0,0.0
SOS,1M,Sue bought six green cards,0.0,0.0,2M,Lynn found nine red hats,0.0,0.0,4M,,0.0,0.0
SOS,5M,Sue gave three green socks,0.0,0.0,8M,Pat lost ten old cards,0.0,0.0,1M,,0.0,0.0
SOS,2M,Sue bought ten cheap socks,0.0,0.0,1M,Mike took six red gloves,0.0,0.0,9M,,0.0,0.0
SOS,8M,Sue lost two cheap gloves,0.0,0.0,11M,Sam held ten green hats,0.0,0.0,5M,,0.0,0.0
SOS,8M,Sue saw six new shoes,0.0,0.0,4M,Lynn lost ten old bags,0.0,0.0,10M,,0.0,0.0
SOS,4M,Sue sold two old toys,0.0,0.0,2M,Pat held ten small hats,0.0,0.0,3M,,0.0,0.0
SOS,7M,Sue held eight big gloves,0.0,0.0,4M,Jane gave three old shoes,0.0,0.0,9M,,0.0,0.0
SOS,2M,Sue sold two big socks,0.0,0.0,3M,Sam took three hot pens,0.0,0.0,11M,,0.0,0.0
SOS,1M,Sue gave ten big pens,0.0,0.0,10M,Pat sold six cheap toys,0.0,0.0,4M,,0.0,0.0
SOS,1M,Sue lost ten big gloves,0.0,0.0,7M,Jane held three small pens,0.0,0.0,2M,,0.0,0.0
SOS,11M,Sue sold six new gloves,0.0,0.0,5M,Sam gave eight small hats,0.0,0.0,10M,,0.0,0.0
SOS,7M,Sue found ten small pens,0.0,0.0,10M,Bob sold two hot cards,0.0,0.0,5M,,0.0,0.0
SOS,1M,Sue gave eight old socks,0.0,0.0,9M,Mike held five big shoes,0.0,0.0,2M,,0.0,0.0
SOS,10M,Sue took two old pens,0.0,0.0,9M,Jane found six hot shoes,0.0,0.0,7M,,0.0,0.0
SOS,1M,Sue sold nine small cards,0.0,0.0,10M,Lynn bought three big toys,0.0,0.0,3M,,0.0,0.0
SOS,9M,Sue found eight cheap bags,0.0,0.0,10M,Jill bought six green cards,0.0,0.0,5M,,0.0,0.0
SOS,3M,Sue sold three red hats,0.0,0.0,7M,Mike took four big toys,0.0,0.0,2M,,0.0,0.0
SOS,3M,Sue held three old gloves,0.0,0.0,10M,Bob found six small cards,0.0,0.0,5M,,0.0,0.0
SOS,4M,Sue sold two hot socks,0.0,0.0,10M,Jane took four big toys,0.0,0.0,3M,,0.0,0.0
SOS,7M,Sue gave five red shoes,0.0,0.0,4M,Sam found ten big cards,0.0,0.0,10M,,0.0,0.0
SOS,3M,Sue lost three cheap gloves,0.0,0.0,11M,Mike found eight hot hats,0.0,0.0,4M,,0.0,0.0
SOS,2M,Sue took five big cards,0.0,0.0,1M,Lynn lost two old gloves,0.0,0.0,8M,,0.0,0.0
SOS,8M,Sue lost six red cards,0.0,0.0,4M,Bob gave three cheap toys,0.0,0.0,11M,,0.0,0.0
SOS,10M,Sue bought five old socks,0.0,0.0,11M,Lynn lost four small shoes,0.0,0.0,4M,,0.0,0.0
SOS,9M,Sue bought two new toys,0.0,0.0,8M,Lynn gave three old gloves,0.0,0.0,2M,,0.0,0.0
SOS,5M,Sue took eight old cards,0.0,0.0,8M,Jill found three green gloves,0.0,0.0,10M,,0.0,0.0
SOS,4M,Sue found two old hats,0.0,0.0,5M,Sam took four new bags,0.0,0.0,11M,,0.0,0.0
SOS,2M,Sue gave three green socks,0.0,0.0,4M,Jane took two red bags,0.0,0.0,9M,,0.0,0.0
SOS,8M,Sue found eight cheap hats,0.0,0.0,1M,Lynn saw three old cards,0.0,0.0,5M,,0.0,0.0
SOS,5M,Sue lost two hot socks,0.0,0.0,11M,Pat gave four small toys,0.0,0.0,8M,,0.0,0.0
SOS,4M,Sue sold ten red gloves,0.0,0.0,10M,Bob lost three old cards,0.0,0.0,3M,,0.0,0.0
SOS,5M,Sue took nine red gloves,0.0,0.0,8M,Pat sold two old pens,0.0,0.0,10M,,0.0,0.0
SOS,2M,Sue took two new hats,0.0,0.0,3M,Jane held nine small shoes,0.0,0.0,10M,,0.0,0.0
SOS,11M,Sue lost ten green shoes,0.0,0.0,3M,Lynn gave eight big bags,0.0,0.0,1M,,0.0,0.0
SOS,7M,Sue lost nine red socks,0.0,0.0,2M,Bob found two cheap hats,0.0,0.0,1M,,0.0,0.0
SOS,5M,Sue bought four red socks,0.0,0.0,9M,Jane gave five new gloves,0.0,0.0,3M,,0.0,0.0
SOS,11M,Sue sold six big bags,0.0,0.0,5M,Lynn found two green toys,0.0,0.0,2M,,0.0,0.0
SOS,10M,Sue lost five small hats,0.0,0.0,5M,Jill took nine cheap bags,0.0,0.0,11M,,0.0,0.0
SOS,1M,Sue found four old toys,0.0,0.0,8M,Jane held ten cheap bags,0.0,0.0,3M,,0.0,0.0
SOS,5M,Sue lost ten hot pens,0.0,0.0,7M,Bob bought four green socks,0.0,0.0,1M,,0.0,0.0
SOS,1M,Sue bought three new toys,0.0,-90.0,2M,Jane lost nine big shoes,0.0,90.0,4M,,0.0,0.0
SOS,2M,Sue found five small hats,0.0,90.0,8M,Lynn lost two old shoes,0.0,-90.0,7M,,0.0,0.0
SOS,2M,Sue held five small toys,0.0,90.0,3M,Lynn gave three cheap bags,0.0,-90.0,4M,,0.0,0.0
SOS,2M,Sue bought five small socks,0.0,90.0,1M,Pat held eight old hats,0.0,-90.0,7M,,0.0,0.0
SOS,8M,Sue gave four cheap pens,0.0,-90.0,1M,Mike took six small gloves,0.0,90.0,4M,,0.0,0.0
SOS,2M,Sue saw five hot bags,0.0,90.0,1M,Sam gave four green shoes,0.0,-90.0,3M,,0.0,0.0
SOS,3M,Sue took five hot cards,0.0,-90.0,8M,Pat found six new shoes,0.0,90.0,11M,,0.0,0.0
SOS,5M,Sue sold ten small bags,0.0,90.0,2M,Sam saw two hot gloves,0.0,-90.0,7M,,0.0,0.0
SOS,7M,Sue saw two new shoes,0.0,90.0,11M,Lynn lost three red bags,0.0,-90.0,3M,,0.0,0.0
SOS,9M,Sue saw ten cheap socks,0.0,90.0,7M,Lynn held eight hot toys,0.0,-90.0,11M,,0.0,0.0
SOS,8M,Sue lost four red gloves,0.0,90.0,1M,Sam saw nine hot bags,0.0,-90.0,11M,,0.0,0.0
SOS,2M,Sue found ten red cards,0.0,90.0,9M,Mike lost four hot bags,0.0,-90.0,8M,,0.0,0.0
SOS,3M,Sue gave two hot cards,0.0,90.0,4M,Lynn found three new pens,0.0,-90.0,9M,,0.0,0.0
SOS,1M,Sue gave three new bags,0.0,-90.0,2M,Lynn took six small gloves,0.0,90.0,11M,,0.0,0.0
SOS,2M,Sue lost nine green hats,0.0,90.0,11M,Lynn held two cheap gloves,0.0,-90.0,7M,,0.0,0.0
SOS,2M,Sue sold ten cheap gloves,0.0,-90.0,5M,Lynn found three big socks,0.0,90.0,4M,,0.0,0.0
SOS,4M,Sue gave ten hot toys,0.0,-90.0,9M,Sam took nine big bags,0.0,90.0,11M,,0.0,0.0
SOS,8M,Sue found nine red shoes,0.0,-90.0,3M,Bob lost ten new pens,0.0,90.0,11M,,0.0,0.0
SOS,8M,Sue found eight small bags,0.0,90.0,5M,Pat sold two new pens,0.0,-90.0,1M,,0.0,0.0
SOS,3M,Sue sold five red bags,0.0,90.0,7M,Lynn took six big toys,0.0,-90.0,8M,,0.0,0.0
SOS,8M,Sue found two cheap toys,0.0,90.0,10M,Lynn held six hot shoes,0.0,-90.0,7M,,0.0,0.0
SOS,10M,Sue found four small toys,0.0,90.0,2M,Mike took eight green gloves,0.0,-90.0,8M,,0.0,0.0
SOS,11M,Sue bought eight small hats,0.0,-90.0,7M,Bob found five old socks,0.0,90.0,10M,,0.0,0.0
SOS,4M,Sue took four green cards,0.0,-90.0,1M,Lynn held nine small pens,0.0,90.0,8M,,0.0,0.0
SOS,9M,Sue gave two big pens,0.0,90.0,10M,Pat found four hot socks,0.0,-90.0,8M,,0.0,0.0
SOS,8M,Sue found three small pens,0.0,-90.0,11M,Sam held six cheap bags,0.0,90.0,1M,,0.0,0.0
SOS,9M,Sue saw four hot hats,0.0,-90.0,7M,Bob lost six new cards,0.0,90.0,8M,,0.0,0.0
SOS,1M,Sue found six old shoes,0.0,90.0,9M,Mike sold ten new hats,0.0,-90.0,8M,,0.0,0.0
SOS,1M,Sue bought eight big gloves,0.0,-90.0,2M,Jill gave four hot socks,0.0,90.0,8M,,0.0,0.0
SOS,11M,Sue sold eight red cards,0.0,90.0,9M,Jane bought five small shoes,0.0,-90.0,1M,,0.0,0.0
SOS,3M,Sue saw five hot pens,0.0,-90.0,2M,Sam lost three red shoes,0.0,90.0,7M,,0.0,0.0
SOS,8M,Sue found two old bags,0.0,-90.0,10M,Jill gave ten green cards,0.0,90.0,3M,,0.0,0.0
SOS,2M,Sue held five old bags,0.0,-90.0,7M,Mike gave nine big socks,0.0,90.0,3M,,0.0,0.0
SOS,11M,Sue saw four green hats,0.0,90.0,2M,Lynn held nine red socks,0.0,-90.0,3M,,0.0,0.0
SOS,3M,Sue lost four red hats,0.0,-90.0,2M,Pat bought six big socks,0.0,90.0,1M,,0.0,0.0
SOS,5M,Sue held nine green pens,0.0,90.0,4M,Sam sold eight hot bags,0.0,-90.0,11M,,0.0,0.0
SOS,4M,Sue held six new socks,0.0,-90.0,8M,Mike took four small gloves,0.0,90.0,10M,,0.0,0.0
SOS,2M,Sue gave eight hot shoes,0.0,-90.0,1M,Sam sold ten small hats,0.0,90.0,7M,,0.0,0.0
SOS,7M,Sue sold two big toys,0.0,90.0,3M,Jane took six green shoes,0.0,-90.0,11M,,0.0,0.0
SOS,5M,Sue took three new socks,0.0,-90.0,3M,Pat saw ten big pens,0.0,90.0,1M,,0.0,0.0
SOS,2M,Sue held two small pens,0.0,90.0,8M,Bob lost nine cheap socks,0.0,-90.0,7M,,0.0,0.0
SOS,1M,Sue lost eight hot hats,0.0,-90.0,2M,Jill sold five red socks,0.0,90.0,8M,,0.0,0.0
SOS,3M,Sue saw nine new gloves,0.0,90.0,7M,Jane lost five cheap hats,0.0,-90.0,1M,,0.0,0.0
SOS,7M,Sue saw six new bags,0.0,-90.0,5M,Jane bought three hot gloves,0.0,90.0,4M,,0.0,0.0
SOS,1M,Sue bought three cheap shoes,0.0,90.0,9M,Pat held nine red bags,0.0,-90.0,5M,,0.0,0.0
SOS,2M,Sue bought nine big gloves,0.0,-90.0,11M,Pat took two hot cards,0.0,90.0,9M,,0.0,0.0
SOS,7M,Sue saw ten old socks,0.0,90.0,9M,Mike found three cheap toys,0.0,-90.0,1M,,0.0,0.0
SOS,11M,Sue took two green pens,0.0,-90.0,9M,Sam bought three red shoes,0.0,90.0,5M,,0.0,0.0
SOS,4M,Sue took nine cheap bags,0.0,90.0,8M,Sam sold eight big toys,0.0,-90.0,3M,,0.0,0.0
SOS,5M,Sue saw nine old hats,0.0,-90.0,7M,Bob found three small pens,0.0,90.0,1M,,0.0,0.0
SOS,5M,Sue gave three old bags,0.0,90.0,8M,Jane saw four small toys,0.0,-90.0,9M,,0.0,0.0
SOS,3M,Sue bought eight red socks,0.0,90.0,4M,Jill sold two hot gloves,0.0,-90.0,8M,,0.0,0.0
SOS,1M,Sue saw nine cheap gloves,0.0,90.0,4M,Jill lost eight hot bags,0.0,-90.0,2M,,0.0,0.0
SOS,11M,Sue bought four cheap gloves,0.0,-90.0,3M,Pat held eight small toys,0.0,90.0,7M,,0.0,0.0
SOS,10M,Sue lost two red toys,0.0,-90.0,1M,Mike saw five small pens,0.0,90.0,3M,,0.0,0.0
SOS,11M,Sue gave four green pens,0.0,-90.0,7M,Bob lost nine cheap shoes,0.0,90.0,8M,,0.0,0.0
SOS,4M,Sue held three cheap shoes,0.0,-90.0,10M,Mike took six red gloves,0.0,90.0,1M,,0.0,0.0
SOS,8M,Sue lost nine green gloves,0.0,-90.0,7M,Pat saw four hot socks,0.0,90.0,5M,,0.0,0.0
SOS,3M,Sue held four hot socks,0.0,90.0,8M,Lynn lost nine small bags,0.0,-90.0,10M,,0.0,0.0
SOS,4M,Sue found six green cards,0.0,-90.0,2M,Mike sold ten small gloves,0.0,90.0,7M,,0.0,0.0
SOS,8M,Sue took two old shoes,0.0,-90.0,11M,Jane bought ten cheap bags,0.0,90.0,4M,,0.0,0.0
SOS,7M,Sue found five green toys,0.0,-90.0,9M,Jill gave nine old socks,0.0,90.0,11M,,0.0,0.0
SOS,9M,Sue found four green toys,0.0,-90.0,4M,Jane saw nine cheap pens,0.0,90.0,7M,,0.0,0.0
SOS,9M,Sue took three green socks,0.0,-90.0,5M,Jane held ten new pens,0.0,90.0,2M,,0.0,0.0
SOS,8M,Sue bought nine old socks,0.0,90.0,4M,Lynn held four green gloves,0.0,-90.0,10M,,0.0,0.0
SOS,7M,Sue held five big shoes,0.0,90.0,2M,Bob found eight red bags,0.0,-90.0,10M,,0.0,0.0
SOS,8M,Sue found three cheap socks,0.0,-90.0,9M,Lynn saw six red bags,0.0,90.0,3M,,0.0,0.0
SOS,9M,Sue lost five new toys,0.0,-90.0,10M,Jane found three hot socks,0.0,90.0,8M,,0.0,0.0
SOS,4M,Sue took three green pens,0.0,90.0,2M,Bob held four cheap cards,0.0,-90.0,3M,,0.0,0.0
SOS,3M,Sue held three big shoes,0.0,90.0,5M,Sam found five new bags,0.0,-90.0,1M,,0.0,0.0
SOS,11M,Sue took three red toys,0.0,90.0,3M,Pat lost four green hats,0.0,-90.0,2M,,0.0,0.0
SOS,10M,Sue gave five green hats,0.0,90.0,3M,Lynn saw nine cheap toys,0.0,-90.0,5M,,0.0,0.0
SOS,7M,Sue sold nine hot pens,0.0,90.0,4M,Jane found three cheap hats,0.0,-90.0,5M,,0.0,0.0
SOS,1M,Sue gave two green shoes,0.0,90.0,5M,Jill saw four small bags,0.0,-90.0,9M,,0.0,0.0
SOS,8M,Sue lost four red gloves,0.0,90.0,10M,Jane gave six hot pens,0.0,-90.0,1M,,0.0,0.0
SOS,3M,Sue gave two small bags,0.0,90.0,7M,Pat saw four big gloves,0.0,-90.0,9M,,0.0,0.0
SOS,1M,Sue gave ten green shoes,0.0,90.0,4M,Jill saw three new gloves,0.0,-90.0,3M,,0.0,0.0
SOS,3M,Sue took three old gloves,0.0,-90.0,9M,Jill held ten big cards,0.0,90.0,1M,,0.0,0.0
SOS,10M,Sue found four red bags,0.0,90.0,7M,Bob bought ten new hats,0.0,-90.0,5M,,0.0,0.0
SOS,8M,Sue lost ten small shoes,0.0,90.0,11M,Sam bought five green cards,0.0,-90.0,10M,,0.0,0.0
SOS,3M,Sue saw eight hot bags,0.0,90.0,11M,Mike found six new toys,0.0,-90.0,7M,,0.0,0.0
SOS,3M,Sue lost two old cards,0.0,-90.0,7M,Jill sold four big gloves,0.0,90.0,5M,,0.0,0.0
SOS,10M,Sue gave two small gloves,0.0,-90.0,7M,Sam held eight new bags,0.0,90.0,11M,,0.0,0.0
SOS,1M,Sue took four green cards,0.0,90.0,2M,Mike lost three small gloves,0.0,-90.0,7M,,0.0,0.0
SOS,8M,Sue held nine red hats,0.0,90.0,2M,Mike bought ten hot bags,0.0,-90.0,9M,,0.0,0.0
SOS,2M,Sue saw four new bags,0.0,-90.0,10M,Lynn bought five green shoes,0.0,90.0,11M,,0.0,0.0
SOS,5M,Sue held six red toys,0.0,90.0,11M,Lynn found eight hot gloves,0.0,-90.0,4M,,0.0,0.0
SOS,7M,Sue saw eight red toys,0.0,-90.0,11M,Pat held three big socks,0.0,90.0,9M,,0.0,0.0
SOS,8M,Sue lost nine old toys,0.0,-90.0,9M,Jill sold two green socks,0.0,90.0,2M,,0.0,0.0
SOS,10M,Sue gave three old pens,0.0,-90.0,11M,Bob found six small shoes,0.0,90.0,9M,,0.0,0.0
SOS,9M,Sue bought two new toys,0.0,-90.0,1M,Sam held three big gloves,0.0,90.0,5M,,0.0,0.0
SOS,4M,Sue lost five old shoes,0.0,-90.0,3M,Jane sold six small socks,0.0,90.0,5M,,0.0,0.0
SOS,9M,Sue lost three big cards,0.0,90.0,1M,Jane bought eight red shoes,0.0,-90.0,2M,,0.0,0.0
SOS,8M,Sue lost ten green shoes,0.0,90.0,7M,Bob took three small socks,0.0,-90.0,9M,,0.0,0.0
SOS,2M,Sue saw two hot pens,0.0,90.0,9M,Sam gave three cheap hats,0.0,-90.0,8M,,0.0,0.0
SOS,7M,Sue took four big hats,0.0,-90.0,5M,Sam lost six old toys,0.0,90.0,8M,,0.0,0.0
SOS,1M,Sue saw four big pens,0.0,90.0,8M,Jane held nine red shoes,0.0,-90.0,3M,,0.0,0.0
SOS,10M,Sue saw nine hot cards,0.0,-90.0,8M,Pat lost two old socks,0.0,90.0,4M,,0.0,0.0
SOS,7M,Sue gave three new pens,0.0,-90.0,11M,Pat bought two red gloves,0.0,90.0,2M,,0.0,0.0
SOS,4M,Sue took four cheap socks,0.0,-90.0,3M,Mike gave two green cards,0.0,90.0,8M,,0.0,0.0
SOS,11M,Sue lost eight green hats,2.0,-90.0,8M,Mike bought ten small cards,2.0,-90.0,9M,Jill sold three old socks,2.0,90.0
SOS,5M,Sue held three small toys,2.0,90.0,4M,Jane bought eight hot cards,2.0,90.0,2M,Jill sold five red socks,2.0,-90.0
SOS,10M,Sue sold nine new pens,2.0,90.0,8M,Mike lost four cheap shoes,2.0,90.0,1M,Jane gave six big toys,2.0,-90.0
SOS,5M,Sue held two hot gloves,2.0,90.0,3M,Sam took ten old shoes,2.0,90.0,2M,Mike bought eight green socks,2.0,-90.0
SOS,2M,Sue gave five red pens,2.0,-90.0,10M,Jill saw six hot shoes,2.0,-90.0,4M,Mike held two small cards,2.0,90.0
SOS,9M,Sue bought six cheap shoes,2.0,-90.0,8M,Sam found five new hats,2.0,-90.0,1M,Pat sold ten old bags,2.0,90.0
SOS,8M,Sue took four old socks,2.0,-90.0,9M,Jill sold six cheap pens,2.0,-90.0,1M,Bob lost nine small toys,2.0,90.0
SOS,2M,Sue held five old toys,2.0,90.0,9M,Mike found two green socks,2.0,90.0,1M,Sam lost eight red hats,2.0,-90.0
SOS,10M,Sue bought nine green socks,2.0,-90.0,5M,Mike lost four big bags,2.0,-90.0,9M,Pat took eight old toys,2.0,90.0
SOS,4M,Sue bought nine small bags,2.0,-90.0,10M,Sam gave four old shoes,2.0,-90.0,9M,Mike held three new socks,2.0,90.0
SOS,5M,Sue took eight hot socks,2.0,90.0,4M,Sam held five small hats,2.0,90.0,3M,Jane sold three green gloves,2.0,-90.0
SOS,9M,Sue saw five small toys,2.0,-90.0,3M,Pat bought nine hot shoes,2.0,-90.0,4M,Bob lost four big pens,2.0,90.0
SOS,11M,Sue saw two big cards,2.0,90.0,9M,Jill lost ten new gloves,2.0,90.0,3M,Pat held four green hats,2.0,-90.0
SOS,2M,Sue took eight red socks,2.0,90.0,11M,Lynn held ten hot gloves,2.0,90.0,10M,Pat lost two green toys,2.0,-90.0
SOS,8M,Sue gave four new gloves,2.0,90.0,1M,Jill lost six red hats,2.0,90.0,3M,Lynn sold ten big toys,2.0,-90.0
SOS,4M,Sue gave eight old bags,2.0,-90.0,10M,Lynn sold five hot hats,2.0,-90.0,1M,Jane took ten new shoes,2.0,90.0
SOS,1M,Sue gave ten cheap shoes,2.0,90.0,2M,Mike found six hot bags,2.0,90.0,10M,Jill sold two old cards,2.0,-90.0
SOS,7M,Sue took nine cheap gloves,2.0,90.0,9M,Lynn sold eight small socks,2.0,90.0,2M,Mike lost three big hats,2.0,-90.0
SOS,2M,Sue found ten big gloves,2.0,-90.0,10M,Lynn held eight hot socks,2.0,-90.0,1M,Sam bought four small cards,2.0,90.0
SOS,7M,Sue gave four old toys,2.0,-90.0,3M,Mike took five small shoes,2.0,-90.0,5M,Sam found six big pens,2.0,90.0
SOS,5M,Sue held ten new shoes,2.0,-90.0,9M,Pat took three hot bags,2.0,-90.0,10M,Jill found two red socks,2.0,90.0
SOS,7M,Sue lost nine small cards,2.0,90.0,1M,Lynn found eight big socks,2.0,90.0,3M,Mike saw three hot bags,2.0,-90.0
